LABELS
SEPARATOR SPACE
DATA
PQ624841 Colorado_2020_mel-20-TD-3_PQ624841
PQ624842 Colorado_2020_mel-20-TD-3_PQ624842
PQ624843 Colorado_2020_sim-20-TD-4_PQ624843
PQ624844 Colorado_2020_sim-20-TD-4_PQ624844
PQ624845 Colorado_2021_mel-21-MDS-9_PQ624845
PQ624846 Colorado_2023_500-F-11_PQ624846
PQ624847 Colorado_2023_500-F-21_PQ624847
PQ624848 Colorado_2023_500-F-41_PQ624848
PQ624849 Colorado_2023_500-F-41_PQ624849
PQ624850 Colorado_2023_500-F-67_PQ624850
PQ624851 Colorado_2023_500-M-16_PQ624851
PQ624852 Colorado_2023_500-M-17_PQ624852
PQ624853 Colorado_2023_500-M-54_PQ624853
PQ624854 Colorado_2023_500-M-57_PQ624854
PQ624855 Colorado_2023_500-M-60_PQ624855
PQ624856 Colorado_2023_500-M-60_PQ624856
PQ624857 Colorado_2023_500-M-61-2_PQ624857
PQ624858 Colorado_2023_500-M-61_PQ624858
PQ624859 Colorado_2023_500-M-65-2_PQ624859
PQ624860 Colorado_2023_500-M-65_PQ624860
PQ624861 Colorado_2023_500-M-71-2_PQ624861
PQ624862 Colorado_2023_500-M-83_PQ624862
PQ624863 Colorado_2023_500-M-84_PQ624863
PQ624864 Colorado_2023_500-M-F10_PQ624864
PQ624865 Colorado_2023_500-M-F11_PQ624865
PQ624866 Colorado_2023_500-M-G2_PQ624866
PQ624867 Colorado_2023_1020-A7_PQ624867
PQ624868 Colorado_2023_1020-A7_PQ624868
PQ624869 Colorado_2023_1020-B6_PQ624869
PQ624870 Colorado_2023_1020-C2_PQ624870
PQ624871 Colorado_2023_1020-D1_PQ624871
PQ624872 Colorado_2023_1020-D3_PQ624872
PQ624873 Colorado_2023_1020-F1 _PQ624873
PQ624874 Colorado_2023_1020-F6_PQ624874
PQ624875 Colorado_2023_1020-F-31_PQ624875
PQ624876 Colorado_2023_1020-F-36_PQ624876
PQ624877 Colorado_2023_1020-F-40_PQ624877
PQ624878 Colorado_2023_1020-F-40_PQ624878
PQ624879 Colorado_2023_1020-F-44_PQ624879
PQ624880 Colorado_2023_1020-F-0818-D4_PQ624880
PQ624881 Colorado_2023_1020-F-0818-D11_PQ624881
PQ624882 Colorado_2023_1020-G3_PQ624882
PQ624883 Colorado_2023_1020-M-8_PQ624883
PQ624884 Colorado_2023_1020-M-19_PQ624884
PQ624885 Colorado_2023_1020-M-0818-A5_PQ624885
PQ624886 Colorado_2023_1020-M-0818-A7_PQ624886
PQ624887 Colorado_2023_1020-M-0818-A10_PQ624887
PQ624888 Colorado_2023_1428-F-8_PQ624888
PQ624889 Colorado_2023_1428-F-21_PQ624889
PQ624890 Colorado_2023_1428-M-3_PQ624890
PQ624891 Colorado_2023_1428-M-3_PQ624891
PQ624892 Colorado_2023_1428-M-4_PQ624892
PQ624893 Colorado_2023_1428-M-6_PQ624893
PQ624894 Colorado_2023_1428-M-21_PQ624894
PQ624895 Colorado_2023_1428-M-42_PQ624895
PQ624896 Colorado_2023_Adobe-B4_PQ624896
PQ624897 Colorado_2023_Adobe-B6_PQ624897
PQ624898 Colorado_2023_Adobe-B8_PQ624898
PQ624899 Colorado_2023_Adobe-C2_PQ624899
PQ624900 Colorado_2023_Briarwood-D9_PQ624900
PQ624901 Colorado_2023_CVID-0825-B1_PQ624901
PQ624902 Colorado_2023_CVID-0825-C10_PQ624902
PQ624903 Colorado_2023_CVID-0911-F4_PQ624903
PQ624904 Colorado_2023_CVID-1006-G6_PQ624904
PQ624905 Colorado_2023_CVID-1006-G7_PQ624905
PQ624906 Colorado_2023_CVID-1006-H2_PQ624906
PQ624907 Colorado_2023_CVID-1006-H3_PQ624907
PQ624908 Colorado_2023_James-A4_PQ624908
PQ624909 Colorado_2023_James-A5_PQ624909
PQ624910 Maine_2023_ME-F-1_PQ624910
PQ624911 Maine_2023_ME-F-2_PQ624911
PQ624912 Maine_2023_ME-F-3_PQ624912
PQ624913 Maine_2023_ME-F-9_PQ624913
PQ624914 Maine_2023_ME-M-1_PQ624914
PQ624915 Maine_2023_ME-M-2_PQ624915
PQ624916 Maine_2023_ME-M-4_PQ624916
PQ624917 Maine_2023_ME-M-6_PQ624917
PQ624918 Maine_2023_ME-M-7_PQ624918
PQ624919 Maine_2023_ME-M-7_PQ624919
PQ624920 Maine_2023_ME-M-8_PQ624920
PQ624921 Maine_2023_ME-M-8_PQ624921
PQ624922 Maine_2023_ME-M-10_PQ624922
PQ624923 Maine_2023_ME-M-11_PQ624923
PQ624924 Maine_2023_ME-M-14_PQ624924
PQ624925 Maine_2023_ME-M-17_PQ624925
PQ624926 Maine_2023_ME-M-18_PQ624926
PQ624927 Maine_2023_ME-M-19_PQ624927
PQ624928 Maine_2023_ME-M-20_PQ624928
PQ624929 Colorado_2023_Myrtle-D5_PQ624929
PQ624930 Colorado_2023_Myrtle-D11_PQ624930
PQ624931 Colorado_2023_Myrtle-E9_PQ624931
PQ624932 Ohio_2023_OH-M-5_PQ624932
PQ624933 Unknown_2023_Peach-8-F7_PQ624933
PQ624934 Unknown_2023_Peach-9-F8_PQ624934
PQ624935 Unknown_2023_Peach-10-F10_PQ624935
PQ624936 Unknown_2023_Peach-13-H7_PQ624936
PQ624937 Unknown_2023_Peach-13-H7_PQ624937
PQ624938 Pennsylvania_2023_Penn-F-1_PQ624938
PQ624939 Pennsylvania_2023_Penn-F-2_PQ624939
PQ624940 Pennsylvania_2023_Penn-F-3_PQ624940
PQ624941 Pennsylvania_2023_Penn-F-4_PQ624941
PQ624942 Pennsylvania_2023_Penn-F-4_PQ624942
PQ624943 Pennsylvania_2023_Penn-F-9_PQ624943
PQ624944 Pennsylvania_2023_Penn-F-12_PQ624944
PQ624945 Pennsylvania_2023_Penn-M-2_PQ624945
PQ624946 Pennsylvania_2023_Penn-M-2_PQ624946
PQ624947 Pennsylvania_2023_Penn-M-8_PQ624947
PQ624948 Pennsylvania_2023_Penn-M-10_PQ624948
PQ624949 Pennsylvania_2023_Penn-M-11_PQ624949
PQ624950 Pennsylvania_2023_Penn-M-14_PQ624950
PQ624951 Pennsylvania_2023_Penn-M-15_PQ624951
PQ624952 Maine_2023_ME-M-3_PQ624952
MH384337 Australia_2008__MH384337
MH384355 Australia_2008__MH384355
MH384362 Australia_2008__MH384362
MH384366 Australia_2008__MH384366
MH384374 Australia_2008__MH384374
MH384380 Australia_2008__MH384380
MT742162 Colorado_2017__MT742162
MT742166 Colorado_2018__MT742166
OR729065 Colorado_2020__OR729065
OR729066 Colorado_2020__OR729066
OR729067 Colorado_2020__OR729067
OR729068 Colorado_2020__OR729068
OR729069 Colorado_2020__OR729069
OR729070 Colorado_2020__OR729070
OR729071 Colorado_2021__OR729071
OR729072 Colorado_2021__OR729072
OR729073 Colorado_2021__OR729073
OR729074 Colorado_2021__OR729074
OR729075 Colorado_2021__OR729075
