LABELS
SEPARATOR SPACE
DATA
PQ624953 Colorado_2020_mel-20-TD-3_PQ624953
PQ624954 Colorado_2020_sim-20-TD-4_PQ624954
PQ624955 Colorado_2021_mel-21-MDS-9_PQ624955
PQ624956 Colorado_2023_500-F-11_PQ624956
PQ624957 Colorado_2023_500-F-21_PQ624957
PQ624958 Colorado_2023_500-F-21_PQ624958
PQ624959 Colorado_2023_500-F-41_PQ624959
PQ624960 Colorado_2023_500-F-67_PQ624960
PQ624961 Colorado_2023_500-M-16_PQ624961
PQ624962 Colorado_2023_500-M-17_PQ624962
PQ624963 Colorado_2023_500-M-54_PQ624963
PQ624964 Colorado_2023_500-M-57_PQ624964
PQ624965 Colorado_2023_500-M-60_PQ624965
PQ624966 Colorado_2023_500-M-61-2_PQ624966
PQ624967 Colorado_2023_500-M-61_PQ624967
PQ624968 Colorado_2023_500-M-65-2_PQ624968
PQ624969 Colorado_2023_500-M-65_PQ624969
PQ624970 Colorado_2023_500-M-71-2_PQ624970
PQ624971 Colorado_2023_500-M-83_PQ624971
PQ624972 Colorado_2023_500-M-84_PQ624972
PQ624973 Colorado_2023_500-M-F10_PQ624973
PQ624974 Colorado_2023_500-M-F11_PQ624974
PQ624975 Colorado_2023_500-M-G2_PQ624975
PQ624976 Colorado_2023_1020-A7_PQ624976
PQ624977 Colorado_2023_1020-B6_PQ624977
PQ624978 Colorado_2023_1020-C2_PQ624978
PQ624979 Colorado_2023_1020-D1_PQ624979
PQ624980 Colorado_2023_1020-D3_PQ624980
PQ624981 Colorado_2023_1020-F1_PQ624981
PQ624982 Colorado_2023_1020-F6_PQ624982
PQ624983 Colorado_2023_1020-F-31_PQ624983
PQ624984 Colorado_2023_1020-F-36_PQ624984
PQ624985 Colorado_2023_1020-F-40_PQ624985
PQ624986 Colorado_2023_1020-F-44_PQ624986
PQ624987 Colorado_2023_1020-F-0818-D4_PQ624987
PQ624988 Colorado_2023_1020-F-0818-D11_PQ624988
PQ624989 Colorado_2023_1020-G3_PQ624989
PQ624990 Colorado_2023_1020-M-8_PQ624990
PQ624991 Colorado_2023_1020-M-19_PQ624991
PQ624992 Colorado_2023_1020-M-0818-A5_PQ624992
PQ624993 Colorado_2023_1020-M-0818-A7_PQ624993
PQ624994 Colorado_2023_1020-M-0818-A10_PQ624994
PQ624995 Colorado_2023_1428-F-8_PQ624995
PQ624996 Colorado_2023_1428-F-21_PQ624996
PQ624997 Colorado_2023_1428-M-3_PQ624997
PQ624998 Colorado_2023_1428-M-4_PQ624998
PQ624999 Colorado_2023_1428-M-21_PQ624999
PQ625000 Colorado_2023_1428-M-42_PQ625000
PQ625001 Colorado_2023_Adobe-B4_PQ625001
PQ625002 Colorado_2023_Adobe-B6_PQ625002
PQ625003 Colorado_2023_Adobe-B8_PQ625003
PQ625004 Colorado_2023_Adobe-C2_PQ625004
PQ625005 Colorado_2023_Briarwood-D9_PQ625005
PQ625006 Colorado_2023_CVID-0825-B1_PQ625006
PQ625007 Colorado_2023_CVID-0825-C10_PQ625007
PQ625008 Colorado_2023_CVID-0911-F4_PQ625008
PQ625009 Colorado_2023_CVID-1006-G6_PQ625009
PQ625010 Colorado_2023_CVID-1006-G7_PQ625010
PQ625011 Colorado_2023_CVID-1006-H2_PQ625011
PQ625012 Colorado_2023_CVID-1006-H3_PQ625012
PQ625013 Colorado_2023_James-A4_PQ625013
PQ625014 Colorado_2023_James-A5_PQ625014
PQ625015 Maine_2023_ME-F-1_PQ625015
PQ625016 Maine_2023_ME-F-2_PQ625016
PQ625017 Maine_2023_ME-F-3_PQ625017
PQ625018 Maine_2023_ME-F-9_PQ625018
PQ625019 Maine_2023_ME-M-1_PQ625019
PQ625020 Maine_2023_ME-M-2_PQ625020
PQ625021 Maine_2023_ME-M-4_PQ625021
PQ625022 Maine_2023_ME-M-6_PQ625022
PQ625023 Maine_2023_ME-M-7_PQ625023
PQ625024 Maine_2023_ME-M-7_PQ625024
PQ625025 Maine_2023_ME-M-8_PQ625025
PQ625026 Maine_2023_ME-M-10_PQ625026
PQ625027 Maine_2023_ME-M-11_PQ625027
PQ625028 Maine_2023_ME-M-14_PQ625028
PQ625029 Maine_2023_ME-M-17_PQ625029
PQ625030 Maine_2023_ME-M-18_PQ625030
PQ625031 Maine_2023_ME-M-19_PQ625031
