count,sample_name,rpm_total
21064269,1020_A7,3599.2704043040844
16369948,1020_B6,4676.618398543477
23239157,1020_C2,300.6563448063112
17106013,1020_D1,390.97363014981926
21171904,1020_D3,73.3519290470994
21081201,1020_F-0818-D11,249.08448052841013
21763086,1020_F-0818-D4,1044.9804774929437
18739163,1020_F-0818-E4,1.0672835280850057
20083530,1020_F-31,17538.201700597452
22496067,1020_F-36,198.87920853009553
20292077,1020_F-40,546.1737603302017
17656681,1020_F-44,493.12778545412925
21685884,1020_F1,82.54217351711371
24469644,1020_F3,5.353571960425743
2304906,1020_F6,3661.320678587326
16176179,1020_G3,611.1455616310873
20062773,1020_M-0818-A10,553.0142817246648
20838328,1020_M-0818-A5,45347.20827889838
22974416,1020_M-0818-A7,59.71860176989918
20736676,1020_M-19,49691.42595467085
19188312,1020_M-8,467.8889940918201
32301333,1428_F-21,529.82333577379
12564800,1428_F-8,1277.2984846555455
34490744,1428_M-21,2475.2437929434054
17466218,1428_M-3,1099.8946652331947
17610793,1428_M-4,2466.442027908681
31059947,1428_M-42,19814.006765690872
40492952,1428_M-43,5.2354790038523245
14192338,1428_M-6,47.138110718614506
23716518,500_F-11,1246.0935454352953
20799350,500_F-21,135.91770896686677
21675749,500_F-41,47796.27223031601
17496924,500_F-42,0.9144464478442039
18387223,500_F-67,1203.0636708979926
16393995,500_M-100,1.0979630041365755
20754003,500_M-16,603.2089327538403
20048311,500_M-17,3975.297470195868
13215186,500_M-54,2435.9097178049556
20943598,500_M-57,2802.574801139708
16397254,500_M-60,642.0587251987437
15038203,500_M-61,5206.739129668617
17915691,500_M-61-2,954.0240451791673
16713531,500_M-65,3958.828328974889
19555736,500_M-65-2,1645.0927748257595
19284421,500_M-71,1.918647181577295
16770372,500_M-71-2,18123.15194916368
22237002,500_M-83,2917.6145237563946
24215901,500_M-84,56683.292519241804
23390541,500_M-F10,2914.6824778443556
25006399,500_M-F11,237.4192301738447
20447990,500_M-F9,0.9780912451541692
19906935,500_M-G2,205.35557080987104
28557088,Adobe_B4,489.12550187189953
22731948,Adobe_B6,653.9254796817238
22953178,Adobe_B8,62982.91243155959
29341067,Adobe_C2,1357.891994861673
19751578,Briarwood_D9,4506.779154556664
18254288,CVID_0825-B1,269.69005857692173
21566022,CVID_0825-C10,1130.6211224304602
21234931,CVID_0911-F4,2960.216823873833
26194651,CVID_1006-G6,1692.9792269421723
21786492,CVID_1006-G7,2576.2752443119343
23946045,CVID_1006-H2,4147.741307593801
19863474,CVID_1006-H3,4751.585749803886
30470269,James_A4,1173.767123618108
25664461,James_A5,83.22793141847006
25210202,ME_F-1,5491.586303037158
23791282,ME_F-2,35.68534053776505
5029551,ME_F-3,15162.586083727952
10672795,ME_F-9,206.7874441512275
33654216,ME_M-1,12582.524578792743
9538753,ME_M-10,3059.1000731437325
12823668,ME_M-11,12009.356449340394
42596674,ME_M-13,2.9345014120116515
36012060,ME_M-14,3291.813909007149
25700287,ME_M-17,3262.8429402364263
57467686,ME_M-18,1268.5737859707801
35546977,ME_M-19,8923.712415826527
12552711,ME_M-2,11838.55822061067
33130715,ME_M-20,2589.5305911749865
16023950,ME_M-3,702.8853684640804
34675541,ME_M-4,2168.0988336995233
8805596,ME_M-6,5739.64556175414
24506875,ME_M-7,3142.709953839484
38398751,ME_M-8,26.19876880891256
15919176,ME_M-9,0.7538078604068452
33034041,Myrtle_D11,665.4953294996516
28852825,Myrtle_D5,178.31876081458228
31810353,Myrtle_D8,0.9430891886047288
10538900,Myrtle_E9,2417.330081887104
14288888,OH_M-5,11008.064448402143
17306431,Peach_10-F10,1807.478387658322
19716283,Peach_13-H7,37.684587911423264
6185427,Peach_2-B4,3.2334065214899472
9482617,Peach_3-B5,18.771189430090867
15301734,Peach_4-B7,5.489573926719678
19257853,Peach_5-B9,4.154149478656837
25545167,Peach_8-F7,2310.652343748624
18203129,Peach_9-F8,1969.5514985363234
10653474,Penn_F-1,52.4711469704624
28093090,Penn_F-12,475.170228693248
35900312,Penn_F-2,52234.44854741095
28642317,Penn_F-3,10590.833136858308
27777668,Penn_F-4,1254.2809569183416
26632836,Penn_F-6,18.435888690186808
32947795,Penn_F-9,42525.0308859819
33420700,Penn_M-10,110903.51189532236
12290562,Penn_M-11,80.30552223730697
34978590,Penn_M-14,84.19436003566753
35379094,Penn_M-15,58329.87130761461
29938292,Penn_M-2,899.0492844414771
21644272,Penn_M-8,43.383302519946156
30888907,mel_20-TD-3,141.4423631111324
24222107,mel_21-LK-5,0.8256920011128677
13805768,mel_21-MDS-9,2286.0010395654917
35070216,sim_20-AG-3,0.285142241496317
28954115,sim_20-TD-4,230.64079147299097
