1428-M-4	1428-M-4.filt.sam	PQ624998	7150	99	0.986
1428-M-4	1428-M-4.filt.sam	PQ625177	2932	113	0.963
1428-M-4	1428-M-4.filt.sam	PQ624892	6018	106	0.983
1428-M-4	1428-M-4.filt.sam	PQ625101	4875	402	0.924
1020-M-8	1020-M-8.filt.sam	PQ624990	1971	23	0.988
1020-M-8	1020-M-8.filt.sam	PQ624883	2239	13	0.994
1020-M-8	1020-M-8.filt.sam	PQ625093	215	15	0.935
Adobe-B4	Adobe-B4.filt.sam	PQ625001	1344	65	0.954
Adobe-B4	Adobe-B4.filt.sam	PQ625104	451	57	0.888
Adobe-B4	Adobe-B4.filt.sam	PQ624896	4981	63	0.988
500-M-83	500-M-83.filt.sam	PQ624971	12011	203	0.983
500-M-83	500-M-83.filt.sam	PQ624862	10146	141	0.986
500-M-83	500-M-83.filt.sam	PQ625074	9432	467	0.953
Penn-M-11	Penn-M-11.filt.sam	PQ625212	168		1.000
Penn-M-11	Penn-M-11.filt.sam	PQ625053	168		1.000
Penn-M-11	Penn-M-11.filt.sam	PQ624949	106		1.000
Adobe-B6	Adobe-B6.filt.sam	PQ624897	4367	140	0.969
Adobe-B6	Adobe-B6.filt.sam	PQ625105	787	95	0.892
Adobe-B6	Adobe-B6.filt.sam	PQ625002	1920	133	0.935
ME-M-20	ME-M-20.filt.sam	PQ625032	10127	504	0.953
ME-M-20	ME-M-20.filt.sam	PQ625133	1482	454	0.765
ME-M-20	ME-M-20.filt.sam	PQ624928	29796	508	0.983
500-M-57	500-M-57.filt.sam	PQ624964	10125	234	0.977
500-M-57	500-M-57.filt.sam	PQ625158	4782	146	0.970
500-M-57	500-M-57.filt.sam	PQ624854	6738	110	0.984
500-M-57	500-M-57.filt.sam	PQ625067	6805	335	0.953
ME-F-3	ME-F-3.filt.sam	PQ624912	14851	277	0.982
ME-F-3	ME-F-3.filt.sam	PQ625190	6680	243	0.965
ME-F-3	ME-F-3.filt.sam	PQ625017	8524	244	0.972
ME-F-3	ME-F-3.filt.sam	PQ625119	6712	565	0.922
1020-B6	1020-B6.filt.sam	PQ625080	5453	348	0.940
1020-B6	1020-B6.filt.sam	PQ624977	15308	186	0.988
1020-B6	1020-B6.filt.sam	PQ624869	11924	157	0.987
1020-B6	1020-B6.filt.sam	PQ625167	4756	105	0.978
1020-F-0818-D4	1020-F-0818-D4.filt.sam	PQ624880	3570	31	0.991
1020-F-0818-D4	1020-F-0818-D4.filt.sam	PQ625172	2099	28	0.987
1020-F-0818-D4	1020-F-0818-D4.filt.sam	PQ625090	2020	79	0.962
1020-F-0818-D4	1020-F-0818-D4.filt.sam	PQ624987	3483	49	0.986
sim-20-TD-4	sim-20-TD-4.filt.sam	PQ624843	924	4	0.996
sim-20-TD-4	sim-20-TD-4.filt.sam	PQ624844	1155	6	0.995
sim-20-TD-4	sim-20-TD-4.filt.sam	PQ625058	204	9	0.958
sim-20-TD-4	sim-20-TD-4.filt.sam	PQ624954	1007	15	0.985
1020-F-44	1020-F-44.filt.sam	PQ625089	221	14	0.940
1020-F-44	1020-F-44.filt.sam	PQ624986	1850	28	0.985
1020-F-44	1020-F-44.filt.sam	PQ624879	2209	21	0.991
ME-M-17	ME-M-17.filt.sam	PQ625130	1806	246	0.880
ME-M-17	ME-M-17.filt.sam	PQ625029	10492	509	0.954
ME-M-17	ME-M-17.filt.sam	PQ624925	28433	421	0.985
CVID-1006-G6	CVID-1006-G6.filt.sam	PQ624904	7837	53	0.993
CVID-1006-G6	CVID-1006-G6.filt.sam	PQ625182	2224	64	0.972
CVID-1006-G6	CVID-1006-G6.filt.sam	PQ625009	6048	110	0.982
CVID-1006-G6	CVID-1006-G6.filt.sam	PQ625112	5613	226	0.961
1020-G3	1020-G3.filt.sam	PQ624989	2246	68	0.971
