isolate,id,accession
mel-20-TD-3,Colorado_2020_PQ624953,PQ624953
sim-20-TD-4,Colorado_2020_PQ624954,PQ624954
mel-21-MDS-9,Colorado_2021_PQ624955,PQ624955
500-F-11,Colorado_2023_PQ624956,PQ624956
500-F-21,Colorado_2023_PQ624957,PQ624957
500-F-21,Colorado_2023_PQ624958,PQ624958
500-F-41,Colorado_2023_PQ624959,PQ624959
500-F-67,Colorado_2023_PQ624960,PQ624960
500-M-16,Colorado_2023_PQ624961,PQ624961
500-M-17,Colorado_2023_PQ624962,PQ624962
500-M-54,Colorado_2023_PQ624963,PQ624963
500-M-57,Colorado_2023_PQ624964,PQ624964
500-M-60,Colorado_2023_PQ624965,PQ624965
500-M-61-2,Colorado_2023_PQ624966,PQ624966
500-M-61,Colorado_2023_PQ624967,PQ624967
500-M-65-2,Colorado_2023_PQ624968,PQ624968
500-M-65,Colorado_2023_PQ624969,PQ624969
500-M-71-2,Colorado_2023_PQ624970,PQ624970
500-M-83,Colorado_2023_PQ624971,PQ624971
500-M-84,Colorado_2023_PQ624972,PQ624972
500-M-F10,Colorado_2023_PQ624973,PQ624973
500-M-F11,Colorado_2023_PQ624974,PQ624974
500-M-G2,Colorado_2023_PQ624975,PQ624975
1020-A7,Colorado_2023_PQ624976,PQ624976
1020-B6,Colorado_2023_PQ624977,PQ624977
1020-C2,Colorado_2023_PQ624978,PQ624978
1020-D1,Colorado_2023_PQ624979,PQ624979
1020-D3,Colorado_2023_PQ624980,PQ624980
1020-F1,Colorado_2023_PQ624981,PQ624981
1020-F6,Colorado_2023_PQ624982,PQ624982
1020-F-31,Colorado_2023_PQ624983,PQ624983
1020-F-36,Colorado_2023_PQ624984,PQ624984
1020-F-40,Colorado_2023_PQ624985,PQ624985
1020-F-44,Colorado_2023_PQ624986,PQ624986
1020-F-0818-D4,Colorado_2023_PQ624987,PQ624987
1020-F-0818-D11,Colorado_2023_PQ624988,PQ624988
1020-G3,Colorado_2023_PQ624989,PQ624989
1020-M-8,Colorado_2023_PQ624990,PQ624990
1020-M-19,Colorado_2023_PQ624991,PQ624991
1020-M-0818-A5,Colorado_2023_PQ624992,PQ624992
1020-M-0818-A7,Colorado_2023_PQ624993,PQ624993
1020-M-0818-A10,Colorado_2023_PQ624994,PQ624994
1428-F-8,Colorado_2023_PQ624995,PQ624995
1428-F-21,Colorado_2023_PQ624996,PQ624996
1428-M-3,Colorado_2023_PQ624997,PQ624997
1428-M-4,Colorado_2023_PQ624998,PQ624998
1428-M-21,Colorado_2023_PQ624999,PQ624999
1428-M-42,Colorado_2023_PQ625000,PQ625000
Adobe-B4,Colorado_2023_PQ625001,PQ625001
Adobe-B6,Colorado_2023_PQ625002,PQ625002
Adobe-B8,Colorado_2023_PQ625003,PQ625003
Adobe-C2,Colorado_2023_PQ625004,PQ625004
Briarwood-D9,Colorado_2023_PQ625005,PQ625005
CVID-0825-B1,Colorado_2023_PQ625006,PQ625006
CVID-0825-C10,Colorado_2023_PQ625007,PQ625007
CVID-0911-F4,Colorado_2023_PQ625008,PQ625008
CVID-1006-G6,Colorado_2023_PQ625009,PQ625009
CVID-1006-G7,Colorado_2023_PQ625010,PQ625010
CVID-1006-H2,Colorado_2023_PQ625011,PQ625011
CVID-1006-H3,Colorado_2023_PQ625012,PQ625012
James-A4,Colorado_2023_PQ625013,PQ625013
James-A5,Colorado_2023_PQ625014,PQ625014
ME-F-1,Maine_2023_PQ625015,PQ625015
ME-F-2,Maine_2023_PQ625016,PQ625016
ME-F-3,Maine_2023_PQ625017,PQ625017
ME-F-9,Maine_2023_PQ625018,PQ625018
ME-M-1,Maine_2023_PQ625019,PQ625019
ME-M-2,Maine_2023_PQ625020,PQ625020
ME-M-4,Maine_2023_PQ625021,PQ625021
ME-M-6,Maine_2023_PQ625022,PQ625022
ME-M-7,Maine_2023_PQ625023,PQ625023
ME-M-7,Maine_2023_PQ625024,PQ625024
ME-M-8,Maine_2023_PQ625025,PQ625025
