sample_id	count_type	count
1428-M-6	initial	57596548
ME-F-9	initial	43328036
ME-M-9	initial	64504760
500-M-60	initial	66509632
Adobe-C1	post_trimming	125413248
Myrtle-E4	initial	123994140
CVID-1006-G7	initial	88262680
Briarwood-D9	initial	80096036
Myrtle-D11	post_trimming	131010448
Peach-4-B7	initial	62194316
Briarwood-D10	post_trimming	83051908
ME-M-4	post_trimming	137891852
CVID-0911-F4	post_trimming	84659240
CVID-0825-B1	initial	74168040
ME-M-13	post_trimming	169078304
1020-B6	initial	66356476
ME-F-1	initial	101912004
1020-M-0818-A10	initial	81378164
Adobe-B4	post_trimming	113441208
500-F-12	post_trimming	78325160
1428-F-15	initial	45777916
500-M-16	initial	84010820
Myrtle-E10	initial	70802044
OH-M-7	initial	88126624
1020-B6	post_trimming	65268496
1020-C2	post_trimming	92711676
500-M-71	initial	78015680
1428-M-36	initial	129503264
Myrtle-E4	post_trimming	120944008
500-M-61-2	post_trimming	71438348
500-M-71-2	initial	67930204
500-M-65	initial	67631880
ME-M-4	initial	140417640
ME-F-2	initial	96339872
1020-F-0818-D4	post_trimming	86775792
500-M-55	post_trimming	84619020
1020-D1	post_trimming	68125076
Peach-13-H7	initial	80011044
1428-M-43	post_trimming	161229908
1020-M-0818-A10	post_trimming	79986188
ME-M-3	post_trimming	63691168
CVID-1006-H2	post_trimming	95512888
500-F-42	post_trimming	69756424
CVID-0825-C10	initial	87565312
ME-M-20	post_trimming	131594532
1428-M-43	initial	163777404
500-M-17	post_trimming	79882436
Pos-Ctrl	post_trimming	88424852
500-M-F10	initial	94705828
500-M-65-2	initial	79206936
500-M-100	post_trimming	65430124
OH-M-3	post_trimming	112204524
CVID-1006-H4	post_trimming	68697204
1020-D9	initial	80232240
sim-20-TD-4	post_trimming	114932452
Penn-M-2	initial	121214376
Water-Neg	initial	992
Peach-11-F11	post_trimming	100777728
500-M-60	post_trimming	65345020
Penn-F-12	post_trimming	111756328
Penn-M-2	post_trimming	119085236
ME-M-17	post_trimming	102241896
sim-20-TD-5	initial	117717512
1020-F-40	post_trimming	80923012
Penn-F-3	post_trimming	113905248
1428-M-21	post_trimming	137193380
Penn-F-6	post_trimming	106052952
1020-F-0818-D11	initial	85544748
Peach-2-B4	post_trimming	24652664
Myrtle-D1	initial	129907708
Penn-F-4	post_trimming	110518592
CVID-1006-G7	post_trimming	86889008
1020-A8-2	post_trimming	64366760
Peach-10-F10	post_trimming	68933928
Peach-3-B5	initial	38523300
500-M-61-2	initial	72529564
ME-M-11	post_trimming	50919824
500-F-41	initial	87920248
CVID-1006-H2	initial	97076844
Peach-4-B7	post_trimming	60971076
1020-F-36	initial	91105856
Penn-F-1	initial	43215592
Peach-5-B9	post_trimming	76726324
Myrtle-D1	post_trimming	127425992
1020-B11	initial	69657220
OH-M-7	post_trimming	86834592
Penn-M-8	initial	87588632
mel-21-MDS-9	initial	56021348
Neg-Ctrl	post_trimming	416
1020-F3	initial	99283548
CVID-0911-F3	initial	96940648
CVID-0911-E3	initial	145604700
ME-M-11	initial	52016764
hydei-20-TD-1	initial	79018748
1020-F-0818-E4	post_trimming	74717028
1428-M-42	initial	125593004
Penn-M-11	initial	49663824
ME-M-9	post_trimming	63284580
500-M-G2	initial	80578360
Penn-F-9	initial	133195308
